Cenário,Parâmetros,Status Esperado,Status Real,Tempo Médio (s),Tempo Mínimo (s),Tempo Máximo (s),Sucesso
"Sem medidor_ids, limit 100",{'limit': 100},200,200,0.366,0.331,0.45,OK
"Medidor 2, limit 50","{'medidor_ids': [2], 'limit': 50}",200,200,0.298,0.289,0.311,OK
"Medidores 2 e 3, limit 50","{'medidor_ids': [123, 120, 67, 64], 'limit': 50}",200,200,0.308,0.301,0.312,OK
"Intervalo de data, limit 50","{'data_inicio': '2025-07-24T00:00:00', 'data_fim': '2025-07-24T23:59:59', 'limit': 50}",200,200,0.3,0.295,0.304,OK
Limit inválido,{'limit': -1},422,500,0.163,0.163,0.163,FALHA
