Cenário,Parâmetros,Status Esperado,Status Real,Tempo Médio (s),Tempo Mínimo (s),Tempo Máximo (s),Sucesso
Sem parâmetros,{},200,200,0.504,0.468,0.596,OK
Lista curta de medidores,"{'medidor_ids': [1, 2, 3]}",200,200,0.315,0.308,0.324,OK
Lista longa de medidores,"{'medidor_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]}",200,200,0.39,0.376,0.414,OK
Medidores inválidos,"{'medidor_ids': ['a', 'b', 'c']}",422,422,0.294,0.29,0.297,OK
