Cenário,Parâmetros,Status Esperado,Status Real,Tempo Médio (s),Tempo Mínimo (s),Tempo Máximo (s),Sucesso
Sem parâmetros,{},200,200,0.379,0.347,0.459,OK
Limite padrão (50),{'limit': 50},200,200,0.352,0.345,0.363,OK
Limite máximo permitido (500),{'limit': 500},200,200,1.109,1.032,1.271,OK
Limite acima do máximo,{'limit': 1000},422,422,0.298,0.287,0.313,OK
Limite inválido (string),{'limit': 'abc'},422,422,0.297,0.292,0.307,OK
Filtro por medidor_ids,"{'limit': 50, 'medidor_ids': [12345, 67890]}",200,200,0.321,0.304,0.356,OK
