Cenário,Parâmetros,Status Esperado,Status Real,Tempo Médio (s),Tempo Mínimo (s),Tempo Máximo (s),Sucesso
Sem parâmetros,{},200,200,0.465,0.432,0.561,OK
Lista curta de medidores,"{'medidor_ids': [123, 120, 67, 64]}",200,200,0.486,0.478,0.496,OK
Lista longa de medidores,"{'medidor_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]}",200,200,0.374,0.356,0.39,OK
Medidores inválidos,"{'medidor_ids': ['a', 'b', 'c']}",422,422,0.297,0.281,0.312,OK
Datas invertidas,"{'data_inicio': '2025-10-28', 'data_fim': '2025-10-18'}",422,200,0.807,0.807,0.807,FALHA
